Id,Severity,Category,VulnerabilitySubType,FilePath,LineNumber,Description,Justification,ExploitabilityLevel,ConfidenceScore,IsTruePositive,IsReachable,InjectionVector,ImpactSummary,RepoRoot,AgentName,RunId,AdoOrganization,AdoProject,AdoRepository,CommitId
78f97d82-13c1-490f-91dc-9253d345715d,Critical,AuthenticationBypass,Disabled JWT validation flags,src/Microsoft.Azure.SignalR.Emulator/AppBuilderExtensions.cs,49,JWT bearer validation disabled in emulator accepts arbitrary tokens,"TokenValidationParameters disables issuer, audience, lifetime, and signing key validation, effectively accepting any token presented via Authorization header or access_token query.",High,0.92,true,true,HTTP Authorization: Bearer <crafted jwt> or /client?access_token=<crafted>,Allows unauthenticated users to obtain authorized access to SignalR emulator endpoints with arbitrary identities and roles.,D:\Code\OSSServices-SignalR-Service,JwtAuthAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
4cea878c-d7fd-4a60-8bb8-ac566caaf358,High,InformationDisclosure,Hardcoded secret (JWT signing key),src/Microsoft.Azure.SignalR.Emulator/AppBuilderExtensions.cs,22,Hardcoded symmetric JWT secret in emulator source code,"AccessKey constant is embedded in code and used to derive ValidKeys; leaked in console output, enabling token forging if emulator is exposed.",High,0.85,true,true,Forge JWT with HS256 using leaked AccessKey,Allows forging of tokens and impersonation within emulator scope.,D:\Code\OSSServices-SignalR-Service,JwtAuthAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
8ef355ed-84a6-415d-8d96-32f5b095a4fd,Low,AuthenticationBypass,Weak JWT validation in emulator,src/Microsoft.Azure.SignalR.Emulator/AppBuilderExtensions.cs,49,"Emulator JWT auth disables all validation (issuer, audience, lifetime, signing key) enabling token acceptance without verification","TokenValidationParameters sets ValidateIssuer, ValidateAudience, ValidateLifetime, and ValidateIssuerSigningKey to false, allowing arbitrary tokens (including via access_token query) to be treated as valid.",Medium,0.72,true,true,Query parameter: access_token,"Authentication bypass within emulator: arbitrary clients can connect and assume any identity/claims because signature, issuer, audience, and lifetime validation are disabled.",D:\Code\OSSServices-SignalR-Service,AuthenticationBypassAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
751a099b-14db-49d0-b60a-fc96493b016d,Critical,AuthenticationBypass,Disabled JWT validation flags,src/Microsoft.Azure.SignalR.Emulator/AppBuilderExtensions.cs,49,JWT bearer validation disabled in emulator accepts arbitrary tokens,"TokenValidationParameters disables issuer, audience, lifetime, and signing key validation, effectively accepting any token presented via Authorization header or access_token query.",High,0.92,true,true,Authorization header (Bearer) or query parameter: access_token,Authentication bypass within the emulator: attackers can self-assign identities/claims and access [Authorize]-protected emulator endpoints or hubs.,D:\Code\OSSServices-SignalR-Service,JwtAuthAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
5193e71e-810a-4da6-9472-7d4404d6a8cd,High,InformationDisclosure,Hardcoded secret (JWT signing key),src/Microsoft.Azure.SignalR.Emulator/AppBuilderExtensions.cs,22,Hardcoded symmetric JWT secret in emulator source code,"AccessKey constant is embedded in code and used to derive ValidKeys; leaked in console output, enabling token forging if emulator is exposed.",High,0.85,true,false,HTTP Authorization: Bearer <forged HS256 token> or access_token query parameter; AsrsSignature header for upstream spoofing.,"Known symmetric key enables forging of authentication tokens and upstream signatures, allowing impersonation and potential full access when the emulator is exposed.",D:\Code\OSSServices-SignalR-Service,JwtAuthAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
26e9edc0-cbb6-4643-833c-b8840963f59c,Medium,InformationDisclosure,Detailed error messages in HTTP response,src/Microsoft.Azure.SignalR/Utilities/ServiceRouteHelper.cs,56,Exception message written directly to HTTP response in negotiate flow,"ServiceRouteHelper catches exceptions and writes ex.Message/e.Message to the HTTP response, leaking internal details to unauthenticated clients.",High,0.6,true,true,HTTP request to negotiate endpoint; response body contains exception message text.,"Returns internal exception messages to clients, revealing service state and internal error text. This can aid reconnaissance and targeted exploitation.",D:\Code\OSSServices-SignalR-Service,GeneralVulnerabilitiesAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
604abeb8-93d8-4ff3-a01d-99a09219b729,Low,CodeInjection,Argument injection via Process.Start arguments,src/submodules/MessagePack-CSharp/src/MessagePack.UnityClient/Assets/Scripts/MessagePack/Unity/Editor/MessagePackWindow.cs,291,Unity editor inputs concatenated into ProcessStartInfo.Arguments and executed via Process.Start,"Editor TextField values flow into MpcArgument.ToString() and are assigned to ProcessStartInfo.Arguments without validation or robust quoting, enabling argument injection into the mpc CLI.",Low,0.6,true,true,"Unity Editor text fields for MpcArgument properties (e.g., Input, Output, ConditionalSymbol, ResolverName, Namespace, MultipleIfDirectiveOutputSymbols).","Allows manipulation of mpc invocation by injecting additional CLI flags/values through unquoted fields, potentially overwriting files or generating code in attacker-controlled locations within the developer machine.",D:\Code\OSSServices-SignalR-Service,CommandInjectionAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
aaf894a6-f2bd-41a1-af25-89713ed6ed7a,High,AuthenticationBypass,Trust store pollution / self-signed acceptance,src/Microsoft.Azure.SignalR.ServiceRuntime/Utilities/CertificateHelper.cs,42,Certificate import helper caches CA certs without chain/issuer validation,"CertificateHelper adds certificates from untrusted input into the CurrentUser CA store and returns X509Certificate2 without verifying trust, enabling acceptance of self-signed/rogue issuers for outbound auth.",Medium,0.76,true,true,"Configuration values: FirstPartyApplicationCertString, EventGridCertString, EgressV2ClientCertString; also CertificateHelper.GetCertificate(string path) if the file content is attacker-controlled.","Allows trust store pollution in CurrentUser CA store leading to acceptance of rogue/intercepting issuers for outbound TLS, potentially enabling MITM or impersonation of services relied upon by the application.",D:\Code\OSSServices-SignalR-Service,CertificateAuthAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
fe82c8de-7fa0-4354-96ea-b6abefbf75d7,Critical,AuthenticationBypass,Header-injected certificate spoofing,src/Microsoft.Azure.SignalR.ServiceRuntime/Extensions/HttpContextExtensions.cs,225,Header-based client certificate acceptance without proof-of-possession,"Code reads X-ASRS-Client-Cert-* headers and forwards them as clientCertificates without verifying they originate from a TLS client cert handshake, enabling spoofing/impersonation.",High,0.88,true,true,HTTP headers: X-ASRS-Client-Cert-Content and X-ASRS-Client-Cert-Thumbprint,"Allows client certificate spoofing: attacker-controlled headers are forwarded as ClientCertificates to upstream, enabling impersonation or unauthorized access if upstream trusts this certificate data.",D:\Code\OSSServices-SignalR-Service,CertificateAuthAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
7b7e705b-6eeb-4c74-bcd2-3cca04bf5d30,Low,CodeInjection,Argument injection via Process.Start arguments,src/submodules/MessagePack-CSharp/src/MessagePack.UnityClient/Assets/Scripts/MessagePack/Unity/Editor/MessagePackWindow.cs,291,Unity editor inputs concatenated into ProcessStartInfo.Arguments and executed via Process.Start,"Editor TextField values flow into MpcArgument.ToString() and are assigned to ProcessStartInfo.Arguments without validation or robust quoting, enabling argument injection into the mpc CLI.",Low,0.6,false,false,,No impact within this repository because the referenced Unity editor code is not present; no Process.Start with untrusted arguments was found in production code paths.,D:\Code\OSSServices-SignalR-Service,CommandInjectionAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
